date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:38	8688/8688	---M--	200	added ('OK')	image/jpeg	etag:%2221f0-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/alan-fx.jpeg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/alan-fx.jpg	(from https://adrofx.com/social-investing)
12:15:38	6896/6896	---M--	200	added ('OK')	image/jpeg	etag:%221af0-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/Collen-H.jpg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/Collen-H.jpg	(from https://adrofx.com/social-investing)
12:15:38	8307/8307	---M--	200	added ('OK')	image/jpeg	etag:%222073-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/Wendy-Malcrew.jpg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/Wendy-Malcrew.jpg	(from https://adrofx.com/social-investing)
12:15:39	5939/5939	---M--	200	added ('OK')	image/jpeg	etag:%221733-5f2ebcc5ed7ff%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/forex-expert.jpeg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/forex-expert.jpg	(from https://adrofx.com/social-investing)
12:15:39	10362/10362	---M--	200	added ('OK')	image/jpeg	etag:%22287a-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/anna-trading.jpeg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/anna-trading.jpg	(from https://adrofx.com/social-investing)
12:15:39	10174/10174	---M--	200	added ('OK')	image/png	etag:%2227be-5f2ebcc5ee79f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/margaret-m.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/margaret-m.png	(from https://adrofx.com/social-investing)
12:15:39	10829/10829	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222a4d-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/adro-fx-logo-white.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/adro-fx-logo-white.svg	(from https://adrofx.com/social-investing)
12:15:40	4689/4689	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2010:15:38%20GMT	https://adrofx.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/cdn-cgi/l/email-protection.html	(from https://adrofx.com/social-investing)
12:15:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ececa5-4d7%22	https://adrofx.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://adrofx.com/social-investing)
12:15:40	89500/89500	---M-Z	200	added ('OK')	application/javascript	etag:%2215d9c-5f2ebcc5ef73f-gzip%22	https://adrofx.com/themes/custom/adrofx_theme/185/js/jquery.min.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/js/jquery.min.js	(from https://adrofx.com/social-investing)
